COUNTRY,CULTURAL SITES,NATURAL SITES,MIXED SITES,TOTAL SITES,SHARED SITES,UNESCO REGION
Zimbabwe,3,2,,5,1,Africa
Central African Republic,,2,,2,1,Africa
Mozambique,1,,,1,,Africa
Seychelles,,2,,2,,Africa
Senegal,5,2,,7,1,Africa
Rwanda,1,1,,2,,Africa
Côte d'Ivoire,2,3,,5,1,Africa
Republic of the Congo,,2,,2,1,Africa
Mali,3,,1,4,,Africa
Kenya,4,3,,7,,Africa
Cape Verde,1,,,1,,Africa
Democratic Republic of the Congo,,5,,5,,Africa
Eritrea,1,,,1,,Africa
Nigeria,2,,,2,,Africa
Ethiopia,9,2,,11,,Africa
Niger,1,2,,3,1,Africa
Gabon,,1,1,2,,Africa
Gambia,2,,,2,1,Africa
Namibia,1,1,,2,,Africa
Guinea,,1,,1,1,Africa
Ghana,2,,,2,,Africa
Mauritius,2,,,2,,Africa
Cameroon,,2,,2,1,Africa
Chad,,1,1,2,,Africa
Angola,1,,,1,,Africa
South Africa,5,4,1,10,1,Africa
Burkina Faso,2,1,,3,1,Africa
Malawi,1,1,,2,,Africa
Botswana,1,1,,2,,Africa
Madagascar,1,2,,3,,Africa
Uganda,1,2,,3,,Africa
Benin,2,1,,3,2,Africa
Lesotho,,,1,1,1,Africa
Zambia,,1,,1,1,Africa
Tanzania,3,3,1,7,,Africa
Togo,1,,,1,1,Africa
United Arab Emirates,1,,,1,,Arab States
Iraq,5,,1,6,,Arab States
Jordan,5,,1,6,,Arab States
Lebanon,6,,,6,,Arab States
Algeria,6,,1,7,,Arab States
Yemen,4,1,,5,,Arab States
Jerusalem (proposed by Jordan),1,,,1,,Arab States
Tunisia,8,1,,9,,Arab States
Morocco,9,,,9,,Arab States
Oman,5,,,5,,Arab States
Mauritania,1,1,,2,,Arab States
Palestine,4,,,4,,Arab States
Bahrain,3,,,3,,Arab States
Libya,5,,,5,,Arab States
Qatar,1,,,1,,Arab States
Syria,6,,,6,,Arab States
Saudi Arabia,6,1,,7,,Arab States
Sudan,2,1,,3,,Arab States
Egypt,6,1,,7,,Arab States
Micronesia,1,,,1,,Asia and the Pacific
Mongolia,4,2,,6,2,Asia and the Pacific
Malaysia,2,2,,4,,Asia and the Pacific
Marshall Islands,1,,,1,,Asia and the Pacific
Papua New Guinea,1,,,1,,Asia and the Pacific
Nepal,2,2,,4,,Asia and the Pacific
Vietnam,5,2,1,8,,Asia and the Pacific
Vanuatu,1,,,1,,Asia and the Pacific
Uzbekistan,5,2,,7,3,Asia and the Pacific
Turkmenistan,4,1,,5,2,Asia and the Pacific
Thailand,4,3,,7,,Asia and the Pacific
Tajikistan,2,2,,4,1,Asia and the Pacific
Sri Lanka,6,2,,8,,Asia and the Pacific
South Korea,14,2,,16,,Asia and the Pacific
Solomon Islands,,1,,1,,Asia and the Pacific
Singapore,1,,,1,,Asia and the Pacific
Philippines,3,3,,6,,Asia and the Pacific
Palau,,,1,1,,Asia and the Pacific
Pakistan,6,,,6,,Asia and the Pacific
North Korea,2,,,2,,Asia and the Pacific
New Zealand,,2,1,3,,Asia and the Pacific
Myanmar,2,,,2,,Asia and the Pacific
